id;user_id;fragebogen_id;frage_id;antwort;erstellt_am
00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001;"Ich versuche zu vermitteln.";2024-01-02
00000000-0000-0000-0000-000000000002;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002;"Kreativ, Teamfähig";2024-01-02
00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000002;00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000003;"Ja";2024-01-03
00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000004;"Ich habe mal...";2024-01-03
00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000005;"Oft";2024-01-04
00000000-0000-0000-0000-000000000006;00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000006;"Unruhe,Schweiß";2024-01-05
00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000006;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000007;"Kooperativ";2024-01-05
00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000008;"Detailliert geplant";2024-01-06
00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000009;"Ja";2024-01-06
00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000010;"Ich höre aktiv zu";2024-01-07