id;text;typ;fragebogenId;kategorieId
00000000-0000-0000-0000-000000000001;"Wie gehen Sie mit Konflikten im Team um?";FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000002;"Wählen Sie zwei Eigenschaften, die Sie am besten beschreiben.";MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000003;"Würden Sie sich als kommunikativ beschreiben?";SINGLE_CHOICE;00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000004;"Nennen Sie ein Beispiel für kreative Problemlösung.";FREITEXT;00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000005;"Wie oft reflektieren Sie Ihre Arbeitsergebnisse?";SINGLE_CHOICE;00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000006;"Wählen Sie typische Stressreaktionen.";MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000007;"Was ist Ihr bevorzugter Führungsstil?";FREITEXT;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000009
00000000-0000-0000-0000-000000000008;"Wie planen Sie Ihren Arbeitsalltag?";FREITEXT;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000009;"Können Sie sich leicht auf neue Situationen einstellen?";SINGLE_CHOICE;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000010
00000000-0000-0000-0000-000000000010;"Wie zeigen Sie Empathie in Gesprächen?";FREITEXT;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000008